N2_T,N_T,H_T,NH3_T,NH2_T,NH_T,N2,H2,NH3,N2_S,N_S,H_S,NH3_S,NH2_S,NH_S,N_S3,time
3.1557990605355027e-10,1.6023951197631197e-07,9.689767134209939e-08,1.0185298970596672e-11,8.646418831782487e-11,2.8220767419237384e-06,0.0002566691334958024,0.0007700060165415633,3.0264287069420417e-07,3.0805279432856406e-11,1.904131444592228e-09,2.1103020498812527e-09,5.099337324888136e-11,5.6559101715125975e-08,2.175197373284642e-09,1.3535669104962082e-12,0.00020389464534176227
3.032698467742149e-10,1.6075057268191662e-07,9.687969313403304e-08,9.654077394399566e-12,8.567290174889239e-11,2.821604413180291e-06,0.0002566691378801981,0.0007700062841205359,3.0264292567412317e-07,3.251748340674199e-11,1.892436580466077e-09,2.133751817766609e-09,5.282035907070413e-11,5.650366345162931e-08,2.2153428963351908e-09,1.4798980544319484e-12,0.00021388689638968117
2.9266951607610986e-10,1.6129785432603695e-07,9.685622229935622e-08,9.211711185668673e-12,8.480035346580676e-11,2.821098136449791e-06,0.0002566691399432976,0.0007700065704812475,3.0264338991046034e-07,3.390717900135257e-11,1.880472560329133e-09,2.158325263349481e-09,5.430972999788977e-11,5.6448857467092384e-08,2.2546547851513066e-09,1.5928192563716931e-12,0.0002281526544685164
2.865000273950113e-10,1.6187982209804672e-07,9.682289756024514e-08,8.966829952568027e-12,8.377268852793266e-11,2.8205597888665303e-06,0.0002566691371429038,0.0007700068767572862,3.026443361808568e-07,3.4740285659373303e-11,1.868842232384316e-09,2.1844841329148078e-09,5.5309163627146526e-11,5.6395265185209556e-08,2.2917817830337616e-09,1.6722153217861095e-12,0.00024241841254735164
2.853866727576078e-10,1.6249694681379346e-07,9.677881711766952e-08,8.928863797345117e-12,8.254705448403966e-11,2.8199894741010166e-06,0.0002566691289867415,0.0007700072047261173,3.026455872813527e-07,3.5095415590692154e-11,1.857625784402556e-09,2.212865789089789e-09,5.5975090479907166e-11,5.634063431059972e-08,2.327954853154065e-09,1.715839285929772e-12,0.00025668417062618687
2.898216721553852e-10,1.6313043002034375e-07,9.672410611981891e-08,9.1198997714337e-12,8.113101883310153e-11,2.8194050511314674e-06,0.00025666911543108527,0.0007700075454737249,3.026471055223066e-07,3.491097712429189e-11,1.847372520602504e-09,2.2433356194347343e-09,5.6265747357714964e-11,5.628542673431683e-08,2.3623843244651868e-09,1.7176497639022213e-12,0.0002709499287050221
2.9958485450406265e-10,1.6375775702219448e-07,9.666008208381724e-08,9.541906091714908e-12,7.955158697749723e-11,2.818827650145026e-06,0.0002566690972489908,0.000770007887689132,3.0264892178744876e-07,3.4109386458210387e-11,1.8386613814410306e-09,2.275622404216282e-09,5.6075056110611197e-11,5.623034768821564e-08,2.3942696342718383e-09,1.6741547475198324e-12,0.00028521568678385734
3.136710372152081e-10,1.6435147564289927e-07,9.65896151559976e-08,1.0171594415414745e-11,7.785517492480943e-11,2.8182827026656856e-06,0.0002566690760772562,0.000770008216853115,3.0265110720046757e-07,3.2630564428736317e-11,1.8320792142318551e-09,2.309080929421125e-09,5.526181462477231e-11,5.617662923564783e-08,2.4227149866154233e-09,1.5867029853503373e-12,0.00030211707805349874
3.296158978330922e-10,1.649200101927973e-07,9.651512316658704e-08,1.0934934176041563e-11,7.604133404240511e-11,2.8177621388984885e-06,0.0002566690544542351,0.0007700085366379739,3.0265380020829445e-07,3.05184560939672e-11,1.8273710254109299e-09,2.3444471754994095e-09,5.3763667121903016e-11,5.612218909127477e-08,2.4494526600247653e-09,1.4683359422146062e-12,0.0003152133980357519
3.4505374997972686e-10,1.654555511950698e-07,9.644030743566536e-08,1.1762350652530875e-11,7.416685067641653e-11,2.817272417048687e-06,0.0002566690349938913,0.000770008841727399,3.0265716852989527e-07,2.781024308399023e-11,1.824578976702673e-09,2.3811982194645634e-09,5.1441596163079365e-11,5.606732112963358e-08,2.474900361316372e-09,1.329707963263618e-12,0.000328309718018005
3.5675321180411397e-10,1.6596863136426483e-07,9.636629791321588e-08,1.2599862087118303e-11,7.216036169735015e-11,2.816802322907561e-06,0.00025666902130198096,0.000770009137781063,3.0266155264495995e-07,2.4413310013271946e-11,1.8240894704295375e-09,2.419738991722851e-09,4.802357391441257e-11,5.601070302141648e-08,2.5001581551349383e-09,1.1818426477622077e-12,0.00034140603800025815
3.6371039627473116e-10,1.6642583044426862e-07,9.629974331405778e-08,1.3351992623696338e-11,7.02126484141959e-11,2.816382278475523e-06,0.00025666901405159903,0.0007700094040514838,3.026664226069555e-07,2.0797361933979062e-11,1.825346283550778e-09,2.456436631181924e-09,4.40083218494548e-11,5.5957203081405694e-08,2.5235508113674124e-09,1.0435347361169441e-12,0.0003545023579825113
3.658790435773063e-10,1.668058717137953e-07,9.624487868009973e-08,1.3958035784559105e-11,6.846566244706216e-11,2.8160317718768336e-06,0.00025666901284538644,0.0007700096270017964,3.026712743660679e-07,1.7358060859644754e-11,1.827751517114809e-09,2.4885286834679305e-09,3.988048090567964e-11,5.591048895959607e-08,2.543817555456023e-09,9.279269377566044e-13,0.00036783395732697954
3.64788642105865e-10,1.6711984392138414e-07,9.620085083170548e-08,1.442093790396047e-11,6.695793617066577e-11,2.815740970812002e-06,0.0002566690153591273,0.0007700098116543183,3.0267571506118143e-07,1.4356865001697451e-11,1.830457791589182e-09,2.515449669580706e-09,3.606615439408216e-11,5.5871006252551965e-08,2.561092100050989e-09,8.38228900581806e-13,0.0003811655566714478
3.611936482852852e-10,1.6735422827685577e-07,9.616896683816786e-08,1.4731648154300894e-11,6.57670581628939e-11,2.8155226030319652e-06,0.0002566690206106816,0.0007700099501005116,3.026794260233389e-07,1.1977376932125181e-11,1.8332248183370112e-09,2.5358117127792674e-09,3.2847646779390834e-11,5.584082466017071e-08,2.574388786203247e-09,7.774167138237478e-13,0.00039449715601591606
